amount,hour,is_first_time,velocity,bin_count,amount_vs_avg,label
4042216,7,1,0,1,1.66,0
865540,22,1,0,1,1.63,0
2215566,22,0,0,1,2.15,0
4193076,10,0,4,5,4.69,1
1183270,18,0,0,2,1.26,0
3179813,19,0,0,1,1.13,0
31710284,4,1,6,10,5.5,1
939397,9,1,1,6,3.24,1
836823,20,0,0,1,0.67,0
1841718,14,0,0,1,0.75,0
634647,14,0,0,1,1.4,0
26559662,1,1,6,8,6.18,1
2321375,23,1,8,3,1.19,1
1560607,15,1,0,1,1.38,0
373255,18,1,0,1,0.76,0
959060,21,0,0,2,1.01,0
604503,21,0,0,1,0.88,0
24359100,18,0,0,1,11.27,1
1875420,14,0,0,2,0.75,0
1086158,18,0,0,1,1.77,0
1651308,13,0,0,1,2.04,0
963232,16,0,0,2,0.76,0
1042671,13,0,2,7,3.08,1
1762538,15,1,0,1,0.42,0
27402117,8,0,0,1,11.8,1
2262035,22,1,0,1,1.15,0
3256987,17,0,0,1,1.73,0
1027454,10,0,0,1,2,0
1300902,14,0,0,1,1.44,0
646273,17,0,0,1,0.95,0
2991473,21,0,0,1,0.77,0
2660275,15,0,0,1,1.5,0
1471937,11,0,0,1,0.85,0
6916978,4,0,3,10,2.32,1
3915453,10,0,0,1,1.53,0
4551035,16,1,0,1,0.4,0
2650075,8,0,1,1,2.18,0
7625538,12,1,3,6,2.74,1
3634299,18,0,0,1,0.75,0
1071125,21,0,0,1,1.41,0
1122778,13,0,0,1,1.07,0
2713114,10,0,1,8,1.7,1
19317872,8,0,0,3,8.12,1
4699199,12,0,0,1,1.1,0
3454670,16,0,0,1,1.1,0
830130,13,0,0,1,0.71,0
3068078,13,0,1,2,1.56,0
1546890,11,0,0,1,0.87,0
4952402,10,0,0,1,1.05,0
2668875,20,0,0,1,0.77,0
816994,9,1,1,1,1.76,0
40652473,2,1,4,8,8.5,1
4697999,19,0,1,1,1.77,0
1342425,11,1,1,1,1.67,0
657024,2,1,1,9,3.59,1
1290934,1,1,2,7,1.6,1
1884548,16,1,5,1,0.89,1
35673235,4,1,8,9,7,1
4651524,9,0,0,1,1.23,0
864403,21,0,0,1,0.64,0
1687664,15,0,0,1,2.13,0
3975152,7,1,0,1,1.13,0
3485197,7,0,0,1,1.13,0
5095205,10,0,2,3,3.18,1
4295842,8,1,1,10,1.84,1
3033542,14,0,0,1,2.01,0
572092,12,0,1,6,1.54,1
2139093,16,0,0,1,2.17,0
757522,21,0,0,1,0.9,0
3864830,22,1,0,1,1.44,0
1326643,11,1,1,1,0.9,0
4637140,10,0,0,1,1.14,0
1383897,11,0,0,1,1.5,0
1366464,14,0,0,1,1.02,0
2034712,17,0,0,1,1.38,0
4793488,22,0,1,1,2.13,0
945695,11,0,0,1,2.02,0
2954536,8,0,0,1,1.42,0
1050029,12,1,0,1,1.65,0
4065197,13,1,0,1,0.88,0
1207787,14,0,0,1,1.18,0
202470,19,0,0,1,1.04,0
3932946,12,1,0,1,1.09,0
4735389,11,0,0,1,0.71,0
3999163,14,1,0,1,0.56,0
2288699,21,0,0,1,1.52,0
2202324,7,0,0,2,1.65,0
20465160,11,0,2,3,8.21,1
37712704,19,0,1,1,8.35,1
1306069,11,0,0,1,1.96,0
276947,14,1,0,1,0.93,0
1546520,12,1,0,1,1.37,0
1553548,18,1,0,1,1.63,0
18976132,13,0,1,1,7.01,1
3327596,19,0,0,1,1.07,0
4004459,17,1,0,1,0.97,0
4616544,18,1,0,1,1.97,0
3152877,9,0,0,1,1.07,0
3054895,22,0,0,1,2,0
265519,8,0,0,1,1.45,0
2360770,22,1,0,1,1.94,0
23218586,21,0,2,2,11.76,1
166058,9,1,0,1,1.41,0
27068089,9,0,2,1,6.4,1
1203683,16,1,0,1,0.59,0
5092027,12,1,1,8,3.2,1
4840324,9,1,1,7,1.66,1
343058,9,1,0,2,1.17,0
3379242,8,0,0,2,2.05,0
2498570,16,1,2,10,2.82,1
4979736,10,0,0,1,2.19,0
252654,16,0,0,1,1.58,0
4874819,16,0,0,1,1.95,0
154241,8,0,1,1,1.12,0
4615902,12,1,0,1,1.93,0
1905977,9,0,0,1,2.19,0
963948,22,0,0,1,1.78,0
3709524,10,1,0,1,1.12,0
261995,18,0,0,1,0.41,0
2540045,21,0,0,1,1.73,0
3083836,21,0,0,1,1.34,0
1759957,9,0,0,1,1.76,0
2368716,18,1,6,2,0.33,1
313750,9,0,0,1,2.06,0
2152498,10,0,0,1,0.56,0
736252,9,0,0,1,1.23,0
1208327,18,0,0,1,0.41,0
1065573,20,0,0,1,1.7,0
1518391,14,0,0,1,2.17,0
1494770,15,0,0,2,1.61,0
35315350,2,1,5,5,5.82,1
313897,12,1,7,1,1.33,1
623550,3,0,1,9,2.46,1
3107375,7,1,0,2,0.89,0
2777119,16,0,0,1,0.66,0
4381338,15,0,0,1,1.52,0
2700250,16,0,0,1,1.29,0
2977421,13,0,0,1,0.72,0
1514091,22,0,0,1,0.93,0
3754988,22,0,0,1,1.52,0
4851673,12,1,0,1,1.73,0
1511489,15,0,0,1,1.41,0
21215655,3,1,6,10,7.27,1
3618217,11,0,1,1,1.98,0
976455,23,1,7,1,0.31,1
4367599,14,0,1,1,1.4,0
2534996,7,1,0,1,0.87,0
37497281,3,1,3,9,9.88,1
23294296,2,1,5,6,7.25,1
246094,21,1,0,1,1.05,0
3514708,22,0,0,1,1.42,0
7796544,10,1,3,7,2.65,1
2701354,18,1,0,2,1.68,0
845752,13,1,6,2,1.49,1
1671328,7,1,0,1,2.1,0
3660415,10,0,0,1,0.43,0
4202337,16,0,0,1,1.15,0
1288907,22,0,0,1,1.41,0
2503130,10,1,0,1,0.69,0
2330778,15,0,0,1,1.03,0
8315735,11,1,4,6,2.91,1
1254630,14,0,1,1,2.1,0
1242423,17,0,0,1,0.49,0
4677592,12,0,0,2,2.13,0
521179,16,0,0,1,1.8,0
1701352,12,1,5,1,1.44,1
4788651,7,0,0,1,0.58,0
565211,8,0,0,1,2.14,0
33540490,1,1,7,4,8.56,1
2274107,8,0,0,1,1.65,0
4346361,17,0,0,1,1.59,0
513819,20,0,0,1,1.03,0
856279,2,1,1,7,2.38,1
1832081,16,0,0,1,1.21,0
2139254,18,0,0,1,1.65,0
3341108,14,1,0,1,0.51,0
4305400,13,0,0,1,1.58,0
23973748,14,0,2,1,10.59,1
2207576,21,0,0,1,0.59,0
831118,17,0,0,1,1.53,0
5020164,23,1,2,10,1.96,1
274071,21,0,0,1,1.28,0
1544816,13,0,0,1,1.95,0
1728831,7,0,0,1,1.71,0
1718419,13,0,0,1,1.8,0
3208863,8,1,1,9,1.64,1
3554526,9,0,0,1,1.91,0
1218173,14,0,0,1,1.37,0
3240939,18,0,0,2,0.67,0
1465944,7,0,0,1,2.11,0
4317351,14,0,0,2,1.73,0
4439761,17,0,0,1,0.61,0
488922,16,1,6,2,1.18,1
1750475,19,0,0,1,2.14,0
611254,18,0,0,1,0.74,0
2511909,12,1,7,1,1.32,1
549214,7,0,0,1,1.32,0
910971,15,0,0,1,0.48,0
4997352,10,0,0,1,0.65,0
3684707,11,1,3,5,3.8,1
453542,16,0,0,1,1.24,0
4796073,9,0,0,1,1.46,0
23558511,4,1,8,7,5.97,1
1628003,9,1,3,6,1.93,1
5485385,21,1,2,6,1.71,1
30498880,1,1,3,9,7.28,1
4793236,21,0,0,1,0.45,0
31023015,17,0,1,3,9.91,1
737526,14,1,8,2,0.92,1
513405,7,0,0,1,0.95,0
3669221,8,0,0,1,0.7,0
187212,8,0,0,1,1.97,0
2106938,17,1,5,2,1.25,1
3720169,20,1,0,1,1.08,0
1623545,12,1,0,1,1.62,0
45468771,4,1,8,10,5.66,1
2174530,17,1,0,1,0.62,0
3197176,21,0,0,1,1.86,0
3428554,13,0,0,1,1.65,0
639112,15,0,0,1,1.64,0
3901776,8,0,3,4,4.28,1
3634763,14,0,0,1,1.36,0
22162319,3,1,3,4,5.69,1
3092308,22,0,0,1,1.36,0
39007179,11,0,0,1,7.47,1
34301149,10,0,2,2,9.63,1
3135896,17,0,0,1,0.7,0
1589846,18,1,1,1,0.7,0
6256651,22,1,1,10,2.58,1
3116432,11,0,0,2,1.37,0
2596430,7,1,0,1,0.42,0
4885744,16,0,0,1,1.85,0
4894083,20,0,0,1,1.04,0
700163,22,0,0,1,0.64,0
4470669,14,0,0,1,1.34,0
3417960,10,0,0,1,2.16,0
27695596,1,1,4,7,8.07,1
3332598,17,0,0,2,0.99,0
2875750,8,0,0,1,2,0
234612,14,0,0,1,1.06,0
2458324,10,1,0,1,2.07,0
2598363,16,0,0,1,0.49,0
778384,8,0,0,1,1.77,0
4573344,20,0,0,1,1.41,0
3144382,12,0,0,1,0.6,0
3690029,9,0,0,1,1.58,0
1679228,19,0,0,1,0.91,0
1037114,19,0,0,1,0.5,0
3833376,13,0,0,2,2.02,0
2412482,16,0,0,1,2.06,0
467917,16,0,0,1,1.16,0
3461904,21,0,0,1,1.98,0
4142749,16,0,0,1,0.73,0
3619494,11,0,0,1,0.83,0
49064545,1,1,6,9,6.5,1
4802911,13,0,0,1,2.18,0
3094223,15,1,0,1,1.9,0
1872971,12,1,0,1,1.47,0
2794161,15,0,0,1,1.63,0
566197,17,0,0,1,0.75,0
2982583,18,1,3,10,2.22,1
1134778,22,0,0,1,2.14,0
564398,18,0,0,1,0.93,0
706361,8,0,0,1,0.52,0
4899957,10,0,0,1,1.83,0
3606823,16,0,0,1,1.6,0
28404563,19,0,1,2,11.01,1
3842013,9,0,0,1,1.25,0
2363787,12,0,0,1,0.84,0
4716547,22,1,0,1,1.01,0
4917831,12,0,0,1,1.84,0
1567974,20,0,0,1,0.82,0
2522064,11,0,0,1,0.58,0
2321652,11,0,0,1,1.65,0
2432004,14,0,0,1,1.48,0
2135453,10,0,0,1,1.91,0
535170,21,0,0,1,0.64,0
1296212,14,0,0,1,1.7,0
817439,10,0,0,1,1.37,0
844782,8,1,0,1,0.68,0
4345609,6,1,3,8,1.57,1
2805368,10,0,0,1,0.95,0
1769217,15,0,0,1,0.75,0
2341936,7,0,0,1,0.64,0
4576663,20,0,0,1,1.44,0
2708359,23,1,6,1,1.47,1
28184512,2,1,6,7,8.41,1
1660653,10,1,0,1,1.36,0
7373101,21,1,3,10,2.11,1
707842,14,0,0,1,1.49,0
713858,20,0,0,1,1.48,0
1799496,8,1,0,1,1.88,0
4873231,12,0,0,1,2.03,0
34002399,12,0,0,1,7.84,1
3330839,21,0,0,1,1.44,0
2548285,11,0,1,1,1.58,0
1214565,8,0,1,1,1.72,0
4227171,11,0,1,2,2.01,0
4598108,16,0,0,1,1.12,0
474039,11,0,0,1,2.05,0
2526256,11,0,0,1,0.86,0
553582,20,1,0,1,0.44,0
1513143,19,0,0,2,0.68,0
1263258,18,1,6,3,0.99,1
3081408,19,0,0,1,1.02,0
1980364,22,0,0,1,1.99,0
1354029,20,1,6,3,0.72,1
28677922,3,1,4,10,5.03,1
2445493,16,0,0,1,1.03,0
3826812,17,0,1,1,2.1,0
662491,12,0,0,1,2.16,0
1318987,17,0,0,1,1.53,0
4249976,8,0,0,1,0.92,0
2001351,8,0,0,1,1.79,0
154486,14,0,0,1,1.17,0
3466175,22,0,0,1,1.38,0
2389103,22,0,0,1,1.44,0
109486,15,0,0,1,1.28,0
4695931,13,0,0,1,0.69,0
2284216,9,0,0,1,1.93,0
4259520,14,1,0,1,1.9,0
4131791,11,1,0,1,1.78,0
3205030,9,0,0,1,0.85,0
2808119,9,1,1,1,0.55,0
571121,18,1,0,1,1.12,0
324062,13,0,0,1,1.43,0
3439335,22,0,0,1,2.08,0
42309116,4,1,8,8,6.07,1
3159992,7,1,0,1,1.12,0
3951101,22,0,0,2,2.06,0
37099414,3,1,7,4,9.77,1
5467096,16,0,2,4,4.88,1
868106,22,1,5,1,1.33,1
4378988,22,0,0,1,0.86,0
832279,8,0,0,1,1.78,0
1906536,18,0,0,1,1.69,0
2558966,12,0,0,1,1.14,0
3999643,17,0,0,1,1.39,0
132594,8,0,0,1,1.31,0
837547,10,0,0,1,1.48,0
1157148,15,0,0,1,1.85,0
3033743,8,0,1,1,1.8,0
3373970,12,0,0,1,0.68,0
3501695,21,0,0,1,0.48,0
340022,7,0,0,1,0.82,0
6791837,6,0,2,5,3.14,1
1672652,13,0,0,1,0.79,0
1472983,11,1,0,1,1.81,0
1683707,22,0,0,1,1.53,0
585901,3,1,2,7,1.53,1
3693221,13,0,1,1,0.47,0
3915886,12,1,0,1,0.76,0
245792,13,0,0,1,1.66,0
3898252,12,0,0,1,0.47,0
1173499,8,0,0,1,1.29,0
23384817,1,1,5,7,8.42,1
4895158,22,0,0,1,1.22,0
1625683,13,0,1,1,0.63,0
2266259,14,0,0,1,0.4,0
682040,20,0,0,1,0.61,0
4027105,15,0,0,1,1.91,0
1464304,15,0,0,1,1.62,0
22928893,14,0,2,2,8.87,1
935917,6,0,2,6,3.06,1
4052945,11,0,0,2,1.22,0
1118205,21,0,0,1,0.52,0
47699114,3,1,5,8,7.62,1
8101059,21,1,2,5,3.65,1
1046291,8,0,0,1,2.12,0
1179980,20,0,0,1,1.47,0
2106364,19,1,0,1,1.02,0
1107607,17,1,0,2,1.89,0
3908900,19,0,0,1,0.53,0
3128814,10,0,0,1,1.49,0
3222476,21,0,1,1,0.46,0
1212887,14,0,0,2,0.94,0
1310898,8,0,0,1,0.48,0
9046059,21,1,4,6,2.75,1
1216635,8,0,0,1,1.78,0
31641436,1,1,3,8,9.44,1
1745638,10,0,0,1,1.06,0
40114889,2,1,7,7,8.39,1
1616008,12,0,0,1,2.04,0
34595699,20,0,0,2,9.75,1
5109551,23,0,1,9,2.1,1
1598162,11,1,8,3,0.86,1
4330873,9,0,0,1,2.12,0
184715,14,0,0,1,1.15,0
541133,18,1,5,1,0.31,1
33480795,1,1,7,9,7.75,1
4429661,15,0,0,1,0.95,0
33433736,1,1,7,6,9.83,1
2040966,15,0,0,1,2.18,0
3249050,10,0,0,1,0.77,0
3391591,16,0,0,1,1.95,0
4021073,10,0,0,1,1.75,0
3681874,19,0,0,1,1.31,0
920748,11,1,0,1,0.67,0
20510799,2,1,6,10,6.03,1
4457376,17,0,0,1,2.15,0
1715079,18,1,0,1,1.13,0
2522576,12,1,8,2,0.53,1
3827998,12,1,0,1,0.57,0
3106142,14,0,0,1,0.82,0
1103520,10,0,0,1,0.56,0
691230,22,1,6,2,0.47,1
2100732,9,0,0,1,1.91,0
5390889,22,1,3,5,3.68,1
390298,19,0,1,1,1.91,0
774453,8,0,0,1,1.68,0
1966186,9,0,0,1,1.17,0
575045,11,1,0,2,1.6,0
4286863,20,0,0,1,1.1,0
1664840,15,0,0,1,1.08,0
930680,20,0,0,1,1.35,0
41776674,4,1,4,10,8.78,1
917933,12,0,0,1,0.41,0
3760241,7,1,2,5,4.17,1
2448932,7,1,0,1,0.56,0
290598,9,0,0,1,1.83,0
3114692,11,1,0,1,0.93,0
4830025,21,0,0,1,1.28,0
4105281,11,0,0,1,0.66,0
2906401,17,0,0,1,0.99,0
4141626,13,1,0,1,1.85,0
34035067,2,1,5,10,6.52,1
1388336,9,0,1,1,1,0
4874782,10,0,0,1,0.82,0
216820,16,1,5,3,1.47,1
197577,18,0,0,1,1.67,0
1751688,7,0,0,1,1.19,0
1030684,16,1,7,3,0.39,1
36013693,2,1,7,8,9.47,1
4673404,15,0,0,1,1.29,0
6686424,0,1,1,8,1.8,1
754147,8,0,0,1,0.52,0
2041086,15,0,0,1,1.02,0
2850050,8,0,0,1,1.43,0
4643415,22,0,0,1,0.55,0
8456862,22,1,2,6,3.15,1
954112,22,0,0,1,0.95,0
4700244,19,0,0,1,0.87,0
3196209,13,0,0,1,0.89,0
2887007,19,0,0,1,1.92,0
1488612,21,0,0,1,0.62,0
17678254,15,0,0,1,8.8,1
1152512,18,0,1,1,1.4,0
1648002,13,0,0,1,0.48,0
2715496,10,1,0,2,1.37,0
2053603,18,0,0,1,0.74,0
4277042,10,0,0,1,2.16,0
34621698,1,1,3,10,9.33,1
3563511,17,0,0,1,2.03,0
41877369,2,1,6,9,9.91,1
3795769,21,0,0,1,0.51,0
2984271,9,0,0,1,2.17,0
506034,22,0,0,2,0.62,0
2105452,11,0,0,1,1.76,0
3998870,9,0,1,1,1.89,0
3026150,12,0,0,1,1.76,0
2496728,18,1,5,2,0.52,1
2017728,7,0,1,1,0.67,0
2616726,22,0,0,1,0.96,0
1009093,14,0,0,1,0.69,0
8672167,11,0,3,6,4.27,1
4546715,19,0,0,1,1.66,0
3694931,10,0,0,1,1.08,0
3144062,22,0,0,1,1.07,0
684720,15,0,0,1,2.02,0
2007755,8,0,0,1,1.27,0
39794384,3,1,5,7,9.28,1
765257,16,0,1,1,1.58,0
3471541,19,0,0,1,1.83,0
1356183,10,0,0,2,1.15,0
4542907,18,0,1,1,1.86,0
1814988,22,0,0,1,1.94,0
519553,15,1,0,1,2.15,0
2054692,13,0,0,1,0.56,0
2101774,12,0,0,1,0.81,0
3559423,12,0,0,2,0.44,0
2630007,14,0,0,1,1.15,0
8892955,11,1,2,6,2.62,1
3200771,13,0,0,1,0.96,0
500702,17,0,0,1,1.88,0
4949199,13,0,0,1,1.83,0
6244688,17,1,2,10,2.97,1
33267052,11,0,2,3,10.12,1
4907471,10,0,0,1,0.46,0
3818416,16,1,0,1,1.13,0
126614,9,0,0,1,0.84,0
2662855,9,0,0,1,1.96,0
1291761,15,0,0,2,0.93,0
4624791,13,0,0,1,0.77,0
2037210,11,1,1,1,1.86,0
7538337,6,1,1,10,1.64,1
1763424,18,1,7,1,0.97,1
1661373,22,1,0,2,1.82,0
36328270,2,1,7,10,6.1,1
229092,15,0,0,1,1.19,0
26983737,3,1,8,9,8.1,1
978580,20,0,0,1,0.56,0
1271136,7,1,0,1,1.19,0
3365771,12,0,0,1,1.71,0
4762525,22,0,0,1,1.1,0
2689046,16,0,0,1,1.4,0
1281039,10,0,0,1,0.64,0
1200670,10,1,0,2,1.55,0
3859246,10,0,0,1,1.96,0
1035554,13,0,0,1,0.78,0
4629853,13,1,0,1,1.23,0
1852052,12,0,0,1,0.43,0
41776225,2,1,4,7,8.81,1
3080086,17,0,1,1,0.6,0
4350806,11,1,0,1,1.87,0
1574627,19,0,0,1,2.14,0
25045746,1,1,5,5,9.7,1
3515086,15,0,0,1,0.98,0
689952,14,0,0,1,2.02,0
4908674,20,1,1,1,1.59,0
4053441,10,0,0,1,0.91,0
2133832,12,1,8,1,1.44,1
4971060,19,1,0,1,1.4,0
6555548,7,1,2,6,2.81,1
2049713,17,1,5,1,1.3,1
2520163,12,0,0,1,1.41,0
3991014,11,0,0,1,1.7,0
1639061,20,0,0,1,0.74,0
1795330,8,0,0,1,1.2,0
33518339,2,1,6,7,9.13,1
3965659,11,1,0,1,0.79,0
3211059,9,1,0,1,1.44,0
2348975,9,0,0,1,1.05,0
1268148,21,0,0,1,2.13,0
4119162,16,0,0,1,1.22,0
1360335,9,0,0,1,1.27,0
1035901,8,0,0,1,1.08,0
4352138,11,0,0,1,1.51,0
1913459,14,0,0,1,0.85,0
1144843,13,1,5,2,0.32,1
1531998,7,0,0,1,1.48,0
580650,10,0,0,1,1.06,0
4807303,19,0,0,1,0.49,0
1354276,18,0,0,1,1.97,0
3566853,20,0,1,1,1.28,0
37508801,4,1,4,9,6.25,1
5210591,9,0,4,3,3.71,1
1429075,18,0,0,1,1.29,0
1975774,21,0,0,1,1.95,0
23506331,3,1,7,6,5.18,1
4929542,11,0,0,1,1.18,0
29585715,17,0,2,1,10.06,1
2060117,17,1,1,1,1.18,0
3855310,14,0,0,1,1.53,0
1061278,12,0,1,1,1.2,0
2791350,18,0,0,2,0.74,0
145610,11,0,0,1,1.46,0
32259244,4,1,3,10,5.58,1
1438904,18,0,0,1,0.99,0
6391140,11,1,4,3,4.57,1
4397631,14,0,0,1,1.95,0
24586061,13,0,0,2,11.47,1
2995635,12,1,0,1,1.81,0
2167327,22,0,1,1,1.52,0
494763,17,0,0,1,1.3,0
2771856,15,0,0,1,1.16,0
705244,12,1,0,1,1.36,0
538801,18,0,0,1,1.15,0
124206,17,0,1,1,1.68,0
2686871,7,0,0,1,1.58,0
332770,17,0,0,2,2.02,0
1354349,22,0,0,1,0.5,0
177038,22,0,0,1,1.75,0
3533020,17,0,0,1,1.07,0
358765,22,0,0,1,2.08,0
820032,19,0,0,1,0.5,0
995289,21,0,0,1,2.06,0
1338505,12,0,0,1,0.47,0
3319724,13,0,0,1,0.81,0
1590892,16,0,0,1,1.67,0
4451665,18,0,0,1,1.01,0
4934042,22,0,0,1,1.14,0
1910784,19,0,0,1,0.49,0
4866927,16,0,0,1,1.46,0
1986601,18,0,1,1,1.48,0
4188971,11,0,0,1,1.79,0
227339,20,1,6,1,0.32,1
2040181,18,0,0,1,0.83,0
46688847,1,1,4,5,6.35,1
3572668,16,0,0,1,0.97,0
146745,22,0,0,1,1.51,0
4630144,22,0,0,2,1.37,0
786188,16,0,0,1,0.63,0
38239938,1,1,3,8,6.01,1
3412896,11,0,0,1,1.06,0
3154888,12,0,0,1,1.27,0
1648174,13,0,0,1,0.53,0
3819624,21,0,0,1,2.11,0
2014345,21,0,1,1,0.49,0
2247392,21,0,0,1,0.91,0
3936831,12,0,0,1,0.48,0
2825847,22,0,0,1,2.17,0
2305426,19,1,0,1,1.64,0
15604773,11,0,1,2,6.6,1
2274429,8,1,0,1,1.52,0
2243221,20,0,0,1,0.83,0
3050188,20,0,0,1,1.32,0
4118762,16,0,0,1,1.61,0
952287,21,0,0,1,1.35,0
4423793,11,1,0,2,0.9,0
2895723,18,0,0,1,0.66,0
320234,17,1,0,1,1.61,0
2998940,19,1,1,2,1.86,0
1667512,7,0,0,1,1.73,0
1342667,22,0,0,1,1.79,0
4739416,17,1,0,2,1.75,0
1050548,16,0,0,1,2.19,0
4362461,7,0,0,2,1.17,0
3416223,16,0,0,1,0.89,0
4434710,18,0,0,1,1.96,0
3286880,21,1,0,1,1.52,0
1218545,15,0,0,1,1.7,0
240208,16,0,0,1,1.05,0
26930510,2,1,6,5,9.81,1
25098464,3,1,5,6,6.73,1
1006489,6,1,3,6,3.24,1
36434290,1,1,6,6,9.93,1
1043292,7,0,0,2,1.94,0
3087058,16,0,0,1,0.79,0
3094359,17,0,0,1,1.64,0
3949392,17,0,0,1,1.49,0
4213543,9,1,0,2,0.46,0
2895551,12,0,0,1,1.49,0
4202367,10,0,0,1,1.48,0
4417903,12,0,0,1,1.32,0
632950,8,0,0,2,0.88,0
1851859,12,0,1,1,1.3,0
1360604,19,0,0,1,0.47,0
3536622,6,1,2,9,2.63,1
3950239,16,1,0,1,2.12,0
1713688,9,0,0,1,1.94,0
2587309,19,1,8,2,1.28,1
1610292,16,0,0,2,2.02,0
4856388,17,1,0,2,1.51,0
4308538,17,0,2,9,3.59,1
4891090,16,0,0,1,0.66,0
4362088,16,0,0,1,1.06,0
4213455,19,0,0,1,1.87,0
4603913,17,0,0,1,1.37,0
40583112,4,1,6,8,6.69,1
2193521,21,0,0,1,1.98,0
4060341,15,0,0,1,1.84,0
3038708,10,1,0,1,1.94,0
4567185,18,0,0,1,2.1,0
761641,14,0,0,1,1.26,0
1974316,20,0,0,1,1.79,0
4658979,18,1,0,1,0.48,0
1004091,18,0,0,1,1.62,0
3529584,10,0,0,1,1.48,0
591557,5,1,2,7,2.71,1
3381503,22,0,0,1,1.27,0
32616066,2,1,7,4,8.55,1
431045,11,1,0,1,1.56,0
638022,21,0,0,1,1.77,0
2444351,13,0,0,2,0.49,0
194635,17,1,1,1,1.19,0
2157836,13,0,0,1,0.53,0
1792144,10,0,0,1,0.46,0
3352030,18,1,0,1,1.91,0
32711199,8,0,2,2,8.57,1
2600469,12,0,0,1,1.14,0
1174174,8,0,0,1,2,0
1434951,21,1,0,1,1.59,0
1787797,9,0,0,1,0.68,0
3750554,7,0,0,1,1.71,0
2040529,21,0,0,1,0.48,0
4879712,9,0,0,1,0.42,0
2943805,8,0,0,1,0.92,0
41320231,4,1,8,5,9.2,1
553058,12,0,1,1,0.88,0
3602703,13,0,0,1,1.8,0
3645482,16,1,1,1,0.45,0
3439644,7,0,0,1,0.67,0
3547114,11,1,1,1,1.1,0
